,Title,Published_date,Views,Likes,Comments
27,Windows PowerShell/Terminal Autocomplete,2023-05-01T06:27:31Z,47445,4399,103
28,Using MongoDB with Flask Applications (Efficiently),2023-04-28T11:30:20Z,19203,612,244
29,Backend Average Salary 💰,2023-04-27T11:30:05Z,151973,14173,161
30,How to use TailwindCSS with Python Flask?,2023-04-26T12:18:01Z,14981,561,143
31,Image Editing Website using Python Flask and OpenCV,2023-04-25T11:53:55Z,24900,1055,176
32,Salary of a Frontend Developer 💵,2023-04-25T06:16:40Z,204698,19582,291
33,VS Code Snippets Tutorial 👨‍💻,2023-04-21T12:00:36Z,100723,9747,59
34,Elon Musk's Interview Question 🏪,2023-04-20T11:26:23Z,412838,29626,198
35,Password generator in Python!,2023-04-15T11:30:06Z,188609,17488,142
36,VS Code Mouse Wheel Trick 🔥,2023-04-15T06:10:39Z,108432,10384,124
37,ChatGPT ❌,2023-04-14T11:36:44Z,138496,11312,212
38,ChatGPT fooled a human!,2023-04-13T06:43:08Z,609760,44165,460
39,How to Host Multiple Websites on a $5 Server (Step by Step Guide),2023-04-10T11:30:20Z,35004,1140,331
40,Learn Web Development Fast!,2023-04-09T16:30:07Z,330992,37406,1964
41,Exploring Requests Module in Python (Deepdive),2023-04-08T12:57:48Z,24446,904,192
42,5 Tricks of Google Search,2023-04-07T17:00:37Z,165699,19736,107
43,Download More Ram 💻,2023-04-06T16:30:05Z,231737,19507,1065
44,Quick and Easy Guide to Set up Your WordPress Blog in Minutes (Fastest Way),2023-04-06T11:30:30Z,27791,1167,216
45,ChatGPT is Good for Jobs!,2023-04-05T09:14:04Z,137187,12286,83
46,Aws Activate for Startups!,2023-04-04T06:30:11Z,60574,5537,32
47,Fake Windows Update 💻,2023-03-30T11:56:27Z,184013,14994,236
48,ChatGPT helped me create this KBC Quiz App (Watch me Build it),2023-03-29T11:30:26Z,64629,2183,347
49,Fastest Way to Learn React in 2023 🔥,2023-03-28T16:30:01Z,210374,18992,1437
50,"AWS Activate: A Program to Support Startups, Founders, & Entrepreneurs  | Amazon Web Services",2023-03-28T05:30:04Z,22666,926,123
51,Python Crash Course in Hindi | 5 Python Projects | Complete Python Tutorial,2023-03-25T13:37:43Z,336426,12598,1427
52,Python vs JavaScript: Which one to Learn in 2023? (For Jobs),2023-03-18T05:30:13Z,298308,12334,905
53,"Choosing the Right Python Web Framework: Django, Flask, or FastAPI?",2023-03-15T11:30:16Z,69332,2431,320
54,What is a Graph Database? | Getting Started with Neo4j AuraDB: A Step-by-Step Tutorial 🔥,2023-03-14T15:06:23Z,21308,967,162
55,Free Office 365 on your Own Server (NextCloud Tutorial),2023-03-13T11:30:02Z,24290,982,119
56,Stop Saving Your Passwords like this (Use Passky Instead!),2023-03-12T11:30:06Z,24838,1197,169
57,Install VS Code/FireFox like Apps on Ubuntu Server (Get 1GBPS Internet Speed for Free),2023-03-11T11:30:04Z,30700,1063,160
58,I Created Discord like Calling App in 5 Minutes... (With Custom Domain),2023-03-10T06:01:02Z,33311,1384,146
59,Docker Made Easy: Discover the Magic of Yacht,2023-03-08T11:58:41Z,21235,803,182
60,Conclusion and Where to go from here | Python Tutorial - Day #100,2023-03-07T13:23:30Z,87170,4432,717
61,Exercise 11: Solution + Shoutouts - Desktop Notification System | Python Tutorial - Day #99,2023-03-06T11:30:00Z,25470,707,192
62,MultiProcessing in Python | Python Tutorial - Day #98,2023-03-05T11:30:28Z,24433,840,107
63,Multithreading in Python | Python Tutorial - Day #97,2023-03-04T15:23:27Z,26192,952,111
64,AsyncIO in Python | Python Tutorial - Day #96,2023-03-03T11:32:53Z,21409,791,132
65,Regular Expressions in Python | Python Tutorial - Day #95,2023-03-02T14:07:54Z,26409,897,97
66,Exercise 11 - Drink Water Reminder | Python Tutorial - Day #94,2023-03-01T11:58:47Z,17685,652,187
67,Exercise 10 - News App Solution & Shoutout | Python Tutorial - Day #93,2023-02-28T12:33:43Z,18242,690,102
68,SearX: The Private Search Engine You Need to Know About!,2023-02-28T06:21:35Z,79205,3244,370
69,Function Caching in Python | Python Tutorial - Day #92,2023-02-27T11:30:13Z,16163,782,100
70,Generators in Python | Python Tutorial - Day #91,2023-02-26T11:30:24Z,20503,894,91
71,I Can Speak Like Shah Rukh Khan - Thanks to this AI 🔥,2023-02-26T02:30:14Z,364588,15309,1807
72,Exercise 10: News App in Python | Python Tutorial - Day #90,2023-02-25T11:30:03Z,18081,741,81
73,Requests Module in Python | Python Tutorial - Day #89,2023-02-24T11:30:17Z,18632,776,133
74,Exercise 9: Solution - Shoutouts to Everyone | Python Tutorial - Day #88,2023-02-23T12:03:10Z,13869,575,137
75,Shutil Module in Python | Python Tutorial - Day #87,2023-02-22T14:50:29Z,18061,925,163
76,Walrus Operator in Python | Python Tutorial - Day #86,2023-02-21T15:21:29Z,18007,823,86
77,Look like a hacker (With this Trick) 🔥🔥,2023-02-21T07:21:42Z,782390,71691,307
78,Creating command line utility in python | Python Tutorial - Day #85,2023-02-20T14:35:35Z,19713,832,139
79,Time Module in Python | Python Tutorial - Day #84,2023-02-19T15:03:14Z,20667,931,496
80,[Scary] ChatGPT generated this website for me (I am scared) 😢😭,2023-02-19T03:30:07Z,806335,20133,1004
81,Exercise 9 - Shoutouts to Everyone | Python Tutorial - Day #83,2023-02-18T14:12:02Z,14161,643,98
82,OpenAI Secret Trick - Automated ChatGPT 🔥🔥,2023-02-18T02:30:07Z,619897,49195,217
83,Exercise 8 - Merge the Pdf Solution in Python | Python Tutorial - Day #82,2023-02-17T16:15:59Z,16475,691,79
84,AWS Innovate Online Conference 🔥,2023-02-17T10:38:55Z,18246,1019,122
85,Hybrid and Hierarchical Inheritance in Python | Python Tutorial - Day #81,2023-02-16T13:29:18Z,17501,796,87
86,Multilevel Inheritance in Python | Python Tutorial - Day #80,2023-02-15T14:25:02Z,18589,845,136
87,Multiple Inheritance in Python | Python Tutorial - Day #79,2023-02-14T14:07:09Z,19318,851,88
88,Single Inheritance in Python | Python Tutorial - Day #78,2023-02-13T11:30:09Z,19841,863,105
89,Enhance your app's security with this tool 🔥,2023-02-12T16:30:10Z,89460,9209,60
90,Operator Overloading in Python | Python Tutorial - Day #77,2023-02-12T11:30:04Z,23446,947,105
91,Exercise 8 - Merge the PDF | Python Tutorial - Day #76,2023-02-11T15:23:47Z,19740,793,118
92,Exercise 7 Solution + Shoutouts | Python Tutorial - Day #75,2023-02-10T13:03:30Z,17997,734,85
93,Method Overriding in Python | Python Tutorial - Day #74,2023-02-09T11:30:02Z,23178,922,97
94,"Spot the bug, I challenge you! 👨‍💻",2023-02-09T05:30:12Z,21838,1394,152
95,Magic/Dunder Methods in Python | Python Tutorial - Day #73,2023-02-08T15:42:04Z,24221,1073,114
96,super keyword in Python | Python Tutorial - Day #72,2023-02-07T15:20:17Z,24566,1099,124
97,"dir, __dict__ and help method in Python | Python Tutorial - Day #71",2023-02-06T12:15:52Z,22351,1067,92
98,Class Methods as Alternative Constructors in Python | Python Tutorial - Day #70,2023-02-05T15:03:34Z,25110,1057,200
99,Class Methods in Python | Python Tutorial - Day #69,2023-02-04T13:00:07Z,28852,1142,129
100,"Lets Build a News App Using ExpressJs +HTML, CSS and JavaScript (Awesome Project) 🔥",2023-02-04T05:30:00Z,62681,2365,191
101,Exercise 7 - Clear the Clutter | Python Tutorial - Day #68,2023-02-03T13:30:02Z,20014,834,108
102,Appwrite - An Easy to setup Open-Source Backend Server 🔥,2023-02-03T05:30:04Z,55314,1950,128
103,Exercise 6 Solution - Library Management Software in Python | Python Tutorial - Day #67,2023-02-02T11:30:19Z,22925,830,132
104,Instance variables vs Class variables in Python | Python Tutorial - Day #66,2023-02-01T14:13:53Z,27493,1226,110
105,Static Methods in Python | Python Tutorial - Day #65,2023-01-31T13:05:45Z,31878,1322,262
106,Exercise 6 - Library Management System in Python | Python Tutorial - Day #64,2023-01-30T11:30:22Z,27173,1094,121
107,Snake Water Gun Game in Python - Exercise 5 - Solution | Python Tutorial - Day #63,2023-01-29T11:30:09Z,32427,1164,143
108,Access Modifiers in Python | Python Tutorial - Day #62,2023-01-28T12:22:47Z,35468,1478,136
109,Inheritance in Python | Python Tutorial - Day #61,2023-01-27T11:30:00Z,42397,1661,131
110,Learn to Install and Manage Applications on Cloudron | Cloudron Tutorial,2023-01-27T05:30:02Z,11655,513,57
111,Getters and Setters in Python | Python Tutorial - Day #60,2023-01-26T11:30:01Z,44069,1563,181
112,Decorators in Python | Python Tutorial - Day #59,2023-01-25T12:27:48Z,59048,2215,184
113,Constructors in Python | Python Tutorial - Day #58,2023-01-24T11:30:01Z,57473,2118,199
114,Classes and Objects in Python | Python Tutorial - Day #57,2023-01-23T11:30:00Z,76740,2783,522
115,Introduction to OOPs in Python | Python Tutorial - Day #56,2023-01-22T11:30:08Z,72828,2681,224
116,Exercise 5 - Snake Water Gun | Python Tutorial - Day #55,2023-01-21T11:30:09Z,34287,1339,232
117,'is' vs '==' in Python | Python Tutorial - Day #54,2023-01-20T15:48:37Z,33022,1736,204
118,Tatum: An Amazing platform for Web 3 developers,2023-01-20T10:47:24Z,35785,1607,167
119,"Map, Filter and Reduce in Python | Python Tutorial - Day #53",2023-01-19T11:30:06Z,48199,2169,493
120,Lambda functions in Python | Python Tutorial - Day #52,2023-01-18T11:30:06Z,52294,2179,187
121,"seek(), tell() and other functions | Python Tutorial - Day #51",2023-01-17T11:30:08Z,40557,1925,178
122,Tips to get Foreign Internship - Part 2,2023-01-17T02:30:12Z,103162,10641,77
123,"read(), readlines() and other methods | Python Tutorial - Day #50",2023-01-16T11:30:20Z,49028,1974,357
124,Tips to get Foreign Internship - Part 1,2023-01-16T08:45:00Z,124756,13494,101
125,File IO in Python | Python Tutorial - Day #49,2023-01-15T11:30:10Z,64217,2428,193
126,Local vs Global Variables in Python| Python Tutorial - Day #48,2023-01-14T11:30:07Z,45469,2112,231
127,PC and App Streaming on the Browser: Kasm Workspaces,2023-01-14T07:08:37Z,17160,821,105
128,Exercise 4: Solutions and Shoutouts | Python Tutorial - Day #47,2023-01-13T11:30:01Z,39433,1439,186
129,os Module in Python | Python Tutorial - Day #46,2023-01-12T11:30:12Z,58976,2415,231
130,"if __name__ == ""__main__"" in Python | Python Tutorial - Day #45",2023-01-11T11:30:18Z,55816,2569,277
131,How import works in Python | Python Tutorial - Day #44,2023-01-10T14:30:05Z,51177,2274,208
132,Can ChatGPT solve JEE Advanced Problem?,2023-01-10T11:18:10Z,307649,10723,784
133,*One* tip to learn programming fast,2023-01-10T02:30:17Z,360470,44130,330
134,Virtual Environment in Python | Python Tutorial - Day #43,2023-01-09T11:30:22Z,62062,2471,261
135,I asked ChatGPT to write me a standup comedy script!,2023-01-09T06:13:45Z,111508,4761,296
136,Avoid this mistake as a coder!,2023-01-09T02:30:26Z,189856,23252,103
137,Enumerate Function in Python | Python Tutorial - Day #42,2023-01-08T11:30:12Z,53921,2284,176
138,Short hand if else statements | Python Tutorial - Day #41,2023-01-07T11:30:08Z,50774,2380,330
139,Which programming language to learn first?🔥,2023-01-07T07:06:33Z,185527,18253,174
140,Exercise 4: Secret Code Language | Python Tutorial - Day #40,2023-01-06T11:30:15Z,53146,2117,415
141,5 ways to make money as a programmer 🤑,2023-01-06T02:30:12Z,218185,28851,91
142,Kaun Banega Crorepati: Exercise 3 - Solution & Shoutouts | Python Tutorial - Day #39,2023-01-05T11:30:14Z,70140,2361,332
143,One Harsh truth about programming ☹️,2023-01-05T02:30:06Z,212497,26006,202
144,Raising custom errors in Python | Python Tutorial - Day #38,2023-01-04T11:30:11Z,62441,2819,420
145,5 ways to master programming logic 🔥,2023-01-04T02:30:18Z,262939,41766,99
146,Finally keyword in Python | Python Tutorial - Day #37,2023-01-03T11:30:20Z,62085,2893,251
147,5 Tips for Maximum Package College Placement,2023-01-03T02:30:00Z,197329,24058,87
148,Exception Handling in Python | Python Tutorial - Day #36,2023-01-02T11:30:02Z,87078,3330,269
149,I Interviewed ChatGPT 🔥,2023-01-01T17:20:28Z,672957,42893,655
150,ChatGPT will replace you....,2023-01-01T15:23:52Z,508041,21516,1456
151,for Loop with else in Python | Python Tutorial - Day #35,2023-01-01T11:30:10Z,56824,2845,331
152,Make more money with these 5 Non Tech Skills💰💰,2023-01-01T06:45:00Z,106012,13333,66
153,Dictionary Methods in Python | Python Tutorial - Day #34,2022-12-31T11:30:05Z,60832,2691,296
154,5 tips to beat procrastination 🔥,2022-12-31T02:30:23Z,68419,7951,61
155,Dictionaries in Python | Python Tutorial - Day #33,2022-12-30T11:30:18Z,82231,3307,362
156,Set Methods in Python | Python Tutorial - Day #32,2022-12-29T11:30:08Z,76177,2987,273
157,I Created a Programming Rap Song with ChatGPT 🧑‍🎤,2022-12-29T07:36:53Z,472735,14196,814
158,Sets in Python | Python Tutorial - Day #31,2022-12-28T11:30:19Z,76655,3119,319
159,Man Sued his own company 🤣😆😅,2022-12-28T02:30:06Z,273192,19969,327
160,Recursion in Python | Python Tutorial - Day #30,2022-12-27T11:30:08Z,98833,3493,501
161,Docstrings in Python | Python Tutorial - Day #29,2022-12-26T11:30:13Z,78056,3176,277
162,Whatsapp Data Breach  👨‍💻,2022-12-26T02:30:17Z,83588,6143,150
163,f-strings in Python | Python Tutorial - Day #28,2022-12-25T11:30:20Z,88967,3458,323
164,5 ways to make money in Cybersecurity!,2022-12-25T05:47:06Z,227461,22590,123
165,Exercise 3: Kaun Banega Crorepati (KBC) | Python Tutorial - Day #27,2022-12-24T11:30:13Z,77631,2743,518
166,The best Todo App (**Ever**) 📝,2022-12-24T08:13:02Z,84162,8845,156
167,Exercise 2: Solution & Shoutouts | Python Tutorial - Day #26,2022-12-23T11:30:07Z,74488,2450,249
168,Operations on Tuples in Python | Python Tutorial - Day #25,2022-12-22T11:30:13Z,83567,3373,264
169,Tuples in Python | Python Tutorial - Day #24,2022-12-21T11:30:05Z,96096,3893,327
170,List Methods in Python | Python Tutorial - Day #23,2022-12-20T11:30:23Z,100587,4105,436
171,Introduction to Lists in Python | Python Tutorial - Day #22,2022-12-19T11:30:11Z,130513,4787,823
172,Function Arguments in Python | Python Tutorial - Day #21,2022-12-18T11:30:00Z,142590,4912,506
173,Functions in Python | Python Tutorial - Day #20,2022-12-17T11:30:10Z,182622,6160,710
174,break and continue in Python | Python Tutorial - Day #19,2022-12-16T11:30:06Z,135209,4937,579
175,While Loops in Python | Python Tutorial - Day #18,2022-12-15T11:38:24Z,157736,5341,494
176,For Loops in Python | Python Tutorial - Day #17,2022-12-14T11:30:19Z,185326,6268,625
177,Match Case Statements in Python | Python Tutorial - Day #16,2022-12-13T11:30:07Z,162570,5274,597
178,Exercise 2: Good Morning Sir | Python Tutorial - Day #15,2022-12-12T11:30:09Z,165927,4717,952
179,If Else Conditional Statements in Python | Python Tutorial - Day #14,2022-12-11T11:30:14Z,212259,6590,809
180,₹ 936 crores fine to Google again💰,2022-12-11T02:30:03Z,219846,17816,195
181,String Methods in Python | Python Tutorial - Day #13,2022-12-10T11:45:27Z,256620,8759,716
182,Money Making Opportunity 🔥,2022-12-10T02:30:12Z,397672,56828,422
183,Strings Slicing and Operations on Strings in Python | Python Tutorial - Day #12,2022-12-09T11:28:25Z,215913,7456,1091
184,Create your own VPN server using Open VPN,2022-12-09T05:30:15Z,110947,4229,203
185,Strings in Python | Python Tutorial - Day #11,2022-12-08T13:28:13Z,238213,8485,787
186,Taking User Input in Python | Python Tutorial - Day #10,2022-12-07T11:30:14Z,222311,9431,1046
187,Typecasting in Python | Python Tutorial - Day #9,2022-12-06T16:14:25Z,242426,9574,977
188,"Creating a Weather App Using HTML, CSS and JavaScript 🔥",2022-12-06T14:30:10Z,335870,9423,625
189,Exercise 1: Calculator using Python (Solution) | Python Tutorial - Day #8,2022-12-05T11:30:09Z,241889,7830,863
190,Exercise 1: Calculator using Python | Python Tutorial - Day #7,2022-12-04T11:30:07Z,272325,8716,1430
191,"Creating a Dictionary App using HTML, CSS, JavaScript & RapidAPI",2022-12-04T02:30:11Z,65940,2225,174
192,Variables and Data Types | Python Tutorial - Day #6,2022-12-03T11:30:10Z,356440,13406,1624
193,Create your own Social Media Website - Mastodon Server Tutorial 🔥,2022-12-03T05:30:02Z,41936,2122,212
194,My Favorite VS Code Extension 🔥,2022-12-03T02:30:03Z,212971,20746,71
195,"Comments, Escape Sequences & Print Statement | Python Tutorial - Day #5",2022-12-02T11:30:09Z,421345,14000,2536
196,Recession and layoffs - When will it end?,2022-12-02T07:01:20Z,276630,13720,598
197,Our First Python Program | Python Tutorial - Day #4,2022-12-01T11:30:02Z,408777,14996,3570
198,Modules and Pip | Python Tutorial - Day #3,2022-11-30T12:36:50Z,563613,18479,1440
199,Some Amazing Python Programs - The Power of Python | Python Tutorial - Day #2,2022-11-29T11:30:07Z,651002,24873,1795
200,Introduction to Programming & Python | Python Tutorial - Day #1,2022-11-28T11:30:03Z,1807176,68100,12235
201,#100DaysOfCode with Python,2022-11-27T16:47:23Z,175297,29404,6154
202,Upskill on cloud : A guided tutorial to avail 50% discount on certification,2022-11-27T05:51:08Z,20150,1117,116
203,"Lets Create a World Clock with Alarm Using HTML, CSS & JavaScript",2022-11-26T14:12:08Z,62638,2406,238
204,AI for Frontend Development 🔥,2022-11-25T11:30:15Z,153476,18101,148
205,THIS NEEDS TO STOP! Shame! (Watch full video) 😢,2022-11-22T07:00:16Z,391474,23760,1462
206,3 Killer Job Tips 🔥,2022-11-20T10:49:32Z,136675,14519,111
207,(∄ a) A Perfect Developer 💻,2022-11-18T16:53:23Z,264103,37276,219
208,Locofy.ai: Convert your Figma designs to Quality Code 🔥,2022-11-17T11:30:07Z,172636,6029,345
209,Project 2: Bulk Rename Desktop App in Node.js | JavaScript Tutorial in Hindi #103,2022-11-15T02:30:02Z,67049,1557,269
210,Upskill on Cloud – A walkthrough,2022-11-14T14:41:44Z,18205,871,94
211,Project 1: PDF Merger WebApp Using JavaScript & Bootstrap | JavaScript Tutorial in Hindi #102,2022-11-10T13:04:57Z,132286,3262,412
212,Exercise 8 - Solutions and Shoutouts | JavaScript Tutorial in Hindi #101,2022-11-10T09:02:32Z,33744,726,76
213,Event Loop in JavaScript | JavaScript Tutorial in Hindi #100,2022-11-09T06:12:58Z,53983,1835,274
214,Regular Expressions in JavaScript | JavaScript Tutorial in Hindi #99,2022-11-08T07:27:19Z,45276,1282,74
215,Top 3 Languages for Web Development,2022-11-07T16:05:47Z,378706,37124,184
216,Top 3 Programming Languages 💻,2022-11-06T15:38:17Z,668672,69005,310
217,Using Express.js to Create a Backend Server | JavaScript Tutorial in Hindi #98,2022-11-05T11:32:59Z,30135,1051,151
218,Modules in JavaScript | JavaScript Tutorial in Hindi #97,2022-11-05T02:30:14Z,32789,1059,93
219,Is Maths required for coding?,2022-11-04T17:00:22Z,444757,47090,220
220,npm and Node.js Packages | JavaScript Tutorial in Hindi #96,2022-11-04T14:26:54Z,36879,1199,152
221,3 GBPS = Your Internet Speed 🤯,2022-11-03T17:00:39Z,506840,54069,336
222,JavaScript on the Server | JavaScript Tutorial in Hindi #95,2022-11-03T11:34:29Z,27855,1085,78
223,Exercise 8 - Alarm Clock | JavaScript Tutorial in Hindi #94,2022-11-03T08:08:18Z,21356,735,51
224,Best Coding App for Phones🔥,2022-11-02T17:00:02Z,346626,34015,279
225,Exercise 7 - Password Generator Solution | JavaScript Tutorial in Hindi #93,2022-11-02T15:49:26Z,25658,889,67
226,JavaScript Chapter 12 - Practice Set | JavaScript Tutorial in Hindi #92,2022-11-02T12:37:06Z,19326,799,71
227,Match Case 🐍,2022-11-02T07:49:44Z,56559,5461,52
228,Arrow Functions Revisited | JavaScript Tutorial in Hindi #91,2022-10-31T13:30:08Z,43531,1471,115
229,Closures in JavaScript | JavaScript Tutorial in Hindi #90,2022-10-31T07:45:00Z,56188,1895,116
230,Hoisting in JavaScript | JavaScript Tutorial in Hindi #89,2022-10-28T15:01:07Z,55643,1839,163
231,local and global Scope in JavaScript | JavaScript Tutorial in Hindi #88,2022-10-28T11:30:08Z,29542,1136,62
232,Destructuring assignment and Spread Operator | JavaScript Tutorial in Hindi #87,2022-10-28T05:49:48Z,39266,1478,85
233,IIFE - Immediately Invoked Function Expressions | JavaScript Tutorial in Hindi #86,2022-10-27T14:30:10Z,34118,1283,141
234,Monitor your Server from Browser like a Pro - CasaOS 🔥,2022-10-26T13:23:50Z,27155,1099,107
235,Exercise 7 - Password Generator | JavaScript Tutorial in Hindi #85,2022-10-25T07:13:23Z,29125,982,87
236,Google's business strategy! (brilliant) 🔥,2022-10-24T17:48:17Z,122961,8449,46
237,Exercise 6 - Solution & Shoutouts | JavaScript Tutorial in Hindi #84,2022-10-23T15:30:01Z,29683,876,145
238,JavaScript Chapter 11 Practice Set | JavaScript Tutorial in Hindi #83,2022-10-23T11:30:00Z,23257,990,92
239,Windows 12 leaked (Have a Look)😯,2022-10-22T16:30:05Z,330547,20228,183
240,"getters, setters & instanceOf Operator | JavaScript Tutorial in Hindi #82",2022-10-22T02:30:15Z,35814,1427,152
241,"₹1,337.76 crore fine on Google",2022-10-21T13:03:03Z,141698,10357,144
242,$19M fine on Apple 🍎,2022-10-21T06:21:36Z,129058,10499,127
243,Static Method in JavaScript | JavaScript Tutorial in Hindi #81,2022-10-21T05:30:07Z,31322,1101,65
244,Constructors in JavaScript | JavaScript Tutorial in Hindi #80,2022-10-20T15:30:09Z,30746,1253,232
245,Constructors in JavaScript | JavaScript Tutorial in Hindi #79,2022-10-20T11:30:09Z,31733,1223,96
246,Constructors in JavaScript | JavaScript Tutorial in Hindi #77,2022-10-20T09:05:45Z,47462,1443,59
247,Inheritance & extends Keyword in JavaScript | JavaScript Tutorial in Hindi #78,2022-10-20T08:15:00Z,36110,1473,114
248,WhatsApp Vulnerability 👩‍💻👨‍💻,2022-10-19T16:30:11Z,261446,16433,130
249,Classes and Objects in JavaScript | JavaScript Tutorial in Hindi #76,2022-10-19T13:13:20Z,69747,1877,131
250,Protypes and __proto__ in JavaScript | JavaScript Tutorial in Hindi #75,2022-10-19T10:20:27Z,49322,1512,92
251,Introduction to Object Oriented Programming | JavaScript Tutorial in Hindi #74,2022-10-18T06:42:32Z,58000,1852,117
252,This Investment Is Worth It 💰💰,2022-10-17T18:09:08Z,281435,24755,200
253,Exercise 6: Todo List | JavaScript Tutorial in Hindi #73,2022-10-17T15:46:01Z,36062,906,59
254,Exercise 5: Solutions & Shoutouts | JavaScript Tutorial in Hindi #72,2022-10-17T12:06:57Z,27616,935,48
255,JavaScript Chapter 10 - Practice Set | JavaScript Tutorial in Hindi #71,2022-10-16T15:30:07Z,37173,1304,220
256,sessionStorage & related methods | JavaScript Tutorial in Hindi #70,2022-10-16T05:30:13Z,35640,1349,80
257,localStorage & related methods | JavaScript Tutorial in Hindi #69,2022-10-15T11:30:02Z,57409,1801,108
258,Cookies in JavaScript| JavaScript Tutorial in Hindi #68,2022-10-15T05:30:23Z,61782,1960,103
259,Sending POST request with Fetch API | JavaScript Tutorial in Hindi #67,2022-10-14T14:30:01Z,69861,1774,305
260,Fetch API | JavaScript Tutorial in Hindi #66,2022-10-14T10:30:02Z,124302,2997,115
261,Every Freelancer should do *these* (Max Earnings),2022-10-13T11:30:10Z,131711,7128,269
262,Exercise 5: Hackerman | JavaScript Tutorial in Hindi #65,2022-10-13T05:30:03Z,33142,1245,114
263,Exercise 4: Solutions & Shoutouts | JavaScript Tutorial in Hindi #64,2022-10-12T11:30:11Z,34959,1123,79
264,JavaScript Chapter 9 - Practice Set  | JavaScript Tutorial in Hindi #63,2022-10-12T05:30:17Z,41653,1452,99
265,The Finally Clause | JavaScript Tutorial in Hindi #62,2022-10-11T11:30:22Z,39859,1798,236
266,The Error Object & Custom Errors | JavaScript Tutorial in Hindi #61,2022-10-10T11:30:12Z,45321,1670,96
267,Data Breach 🤯,2022-10-10T08:32:48Z,82996,5170,53
268,Free AI Code Completion 🔥,2022-10-10T07:12:45Z,125430,10326,54
269,Error Handling: try and catch | JavaScript Tutorial in Hindi #60,2022-10-09T07:14:17Z,61432,2179,172
270,Sova Virus is Dangerous! 👨‍💻,2022-10-08T16:30:03Z,155371,11459,103
271,Async/Await in JavaScript | JavaScript Tutorial in Hindi #59,2022-10-08T11:30:08Z,118740,3325,194
272,Use Your Computer From a Browser Tab (Amazing Technology),2022-10-07T11:30:09Z,125290,4159,321
273,The Promise API | JavaScript Tutorial in Hindi #58,2022-10-07T05:30:15Z,61256,2159,144
274,Attaching Multiple Handlers to a Promise | JavaScript Tutorial in Hindi #57,2022-10-06T11:30:11Z,51966,1792,109
275,Promise Chaining .then() calls | JavaScript Tutorial in Hindi #56,2022-10-06T07:15:47Z,73502,2188,144
276,Promise .then() and .catch() | JavaScript Tutorial in Hindi #55,2022-10-05T11:30:05Z,99898,2978,156
